,conference_year,category,title,author,abstract,download_url,keywords,8
10,2002,Constraint Satisfaction,Reducing Search Space in Local Search for Constraint Satisfaction,"H. Fang, Yale University; Y. Kilani and J.H.M. Lee, The Chinese University of Hong Kong; P.J. Stuckey, University of Melbourne","Typically local search methods for solving constraint satisfaction problems such as GSAT,WalkSAT and DLM treat the problem as an optimization problem. Each constraint contributes part of a penalty function in assessing trial valuations. Local search examines the neighbours of the current valuation, using the penalty function to determine a better neighbor valuations to move to, until finally a solution which satisfies all constraints is found. In this paper we investigate using some of the constraints, rather than as part of a penalty function, as hard constraints, that are always satisfied by every trial valuation visited. In this way the constraints reduce the possible neighbours in each move and also the overall search space. The treating of some constraints as hard requires that the space of valuations that are satisfied is connected in order to guarantee that a solution can be found from any starting position within the region. Treating some constraints as hard also provides difficulties for the search mechanism since the search space becomes more jagged, and there are more deep local minima. A new escape strategy is needed. We show in this paper how, for DIMACS translations of binary CSPs, treating some constraints as hard can signifi- cantly improve search performance of the DLM local search method.",https://aaai.org/Library/AAAI/2002/../../../Papers/AAAI/2002/AAAI02-005.pdf,,1327
11,2002,Constraint Satisfaction,Preference-Based Search and Multi-Criteria Optimization,Ulrich Junker,"Many real-world AI problems (e.g. in configuration) are weakly constrained, thus requiring a mechanism for characterizing and finding the preferred solutions. Preference-based search (PBS) exploits preferences between decisions to focus search to preferred solutions, but does not efficiently treat preferences on defined criteria such as the total price or quality of a configuration. We generalize PBS to compute balanced, extreme, and Pareto-optimal solutions for general CSP’s, thus handling preferences on and between multiple criteria. A master-PBS selects criteria based on trade-offs and preferences and passes them as optimization objective to a sub-PBS that performs a constraint-based Branch-and-Bound search. We project the preferences of the selected criterion to the search decisions to provide a search heuristics and to reduce search effort, thus giving the criterion a high impact on the search. The resulting method will particularly be effective for CSP’s with large domains that arise if configuration catalogs are large.",https://aaai.org/Library/AAAI/2002/../../../Papers/AAAI/2002/AAAI02-006.pdf,,1041
12,2002,Constraint Satisfaction,Human-Guided Tabu Search,"Gunnar W. Klau, Vienna University of Technology; Neal Lesh and
Joe Marks, Mitsubishi Electric Research Laboratories; Michael Mitzenmacher, Harvard University","We present a human-guidable and general tabu search algorithm. Our work expands on previous interactive optimization techniques that provide for substantial human control over a simple, exhaustive search algorithm. User experiments in four domains confirm that human guidance can improve the performance of tabu search and that people obtain superior results by guiding a tabu algorithm than by guiding an exhaustive algorithm.",https://aaai.org/Library/AAAI/2002/../../../Papers/AAAI/2002/AAAI02-007.pdf,,427
13,2002,Constraint Satisfaction,Node and Arc Consistency in Weighted CSP,"Javier Larrosa, Universitat Politecnica de Catalunya","Recently, a general definition of arc consistency (AC) for soft constraints has been proposed. In this paper we specialize this definition to weighted CSP and introduce a O(ed3) algorithm. Then, we refine the definition and introduce a stronger form of arc consistency (AC*) along with a O(n2 d3) algorithm. We empirically demonstrate that AC* is likely to be much better than AC in terms of pruned values.",https://aaai.org/Library/AAAI/2002/../../../Papers/AAAI/2002/AAAI02-008.pdf,,406
14,2002,Constraint Satisfaction,"Model Induction: A New Source of CSP Model Redundancy / 54
","Y. C. Law and J. H. M. Lee, The Chinese University of Hong Kong","Based on the notions of viewpoints, models, and channeling constraints, the paper introduces model induction, a systematic transformation of constraints in an existing model to constraints in another viewpoint. Meant to be a general CSP model operator, model induction is useful in generating redundant models, which can be further induced or combined with the original model or other mutually redundant models. We propose three ways of combining redundant models using model induction, model channeling, and model intersection. Experimental results on the Langford’s problem confirm that our proposed combined models exhibit improvements in efficiency and robustness over the original single models.",https://aaai.org/Library/AAAI/2002/../../../Papers/AAAI/2002/AAAI02-009.pdf,,700
15,2002,Knowledge Representation,On Computing all Abductive Explanations,"Thomas Eiter, Technische Universität Wien; Kazuhisa Makino, Osaka University","We consider the computation of all respectively a polynomial subset of the explanations of an abductive query from a Horn theory, and pay particular attention to whether the query is a positive or negative letter, the explanation is based on literals from an assumption set, and the Horn theory is represented in terms of formulas or characteristic models. We derive tractability results, one of which refutes a conjecture by Selman and Levesque, as well as intractability results, and furthermore also semi-tractability results in terms of solvability in quasi-polynomial time. Our results complement previous results in the literature, and elucidate the computational complexity of generating the set of explanations.",https://aaai.org/Library/AAAI/2002/../../../Papers/AAAI/2002/AAAI02-010.pdf,,719
16,2002,Knowledge Representation,Measuring Inconsistency in Knowledge via Quasi-Classical Models,"Anthony Hunter, University College London","The language for describing inconsistency is underdeveloped. If a knowledgebase (a set of formulae) is inconsistent, we need more illuminating ways to say how inconsistent it is, or to say whether one knowledgebase is ""more inconsistent"" than another. To address this, we provide a general characterization of inconsistency, based on quasi-classical logic (a form of paraconsistent logic with a more expressive semantics than Belnap’s four-valued logic, and unlike other paraconsistent logics, allows the connectives to appear to behave as classical connectives). We analyse inconsistent knowledge by considering the conflicts arising in the minimal quasi-classical models for that knowledge. This is used for a measure of coherence for each knowledgebase, and for a preference ordering, called the compromise relation, over knowledgebases. In this paper, we formalise this framework, and consider applications in managing heterogeneous sources of knowledge.",https://aaai.org/Library/AAAI/2002/../../../Papers/AAAI/2002/AAAI02-011.pdf,,958
17,2002,Knowledge Representation,A Hoare-Style Proof System for Robot Programs,"Yongmei Liu, University of Toronto","Golog is a situation calculus-based logic programming language for high-level robotic control. This paper explores Hoare’s axiomatic approach to program verification in the Golog context. We present a novel Hoare-style proof system for partial correctness of Golog programs. We prove total soundness of the proof system, and relative completeness of a subsystem of it for procedureless Golog programs. Examples are given to illustrate the use of the proof system.",https://aaai.org/Library/AAAI/2002/../../../Papers/AAAI/2002/AAAI02-012.pdf,,463
18,2002,Knowledge Representation,Representing and Reasoning about Mappings between Domain Models,"Jayant Madhavan, University of Washington; Philip A. Bernstein, Microsoft Research; Pedro Domingos and Alon Y. Halevy, University of Washington","Mappings between disparate models are fundamental to any application that requires interoperability between heterogeneous data and applications. Generating mappings is a labor-intensive and error prone task. To build a system that helps users generate mappings, we need an explicit representation of mappings. This representation needs to have well-defined semantics to enable reasoning and comparison between mappings. This paper first presents a powerful framework for defining languages for specifying mappings and their associated semantics. We examine the use of mappings and identify the key inference problems associated with mappings. These properties can be used to determine whether a mapping is adequate in a particular context. Finally, we consider an instance of our framework for a language representing mappings between relational data. We present sound and complete algorithms for the corresponding inference problems.",https://aaai.org/Library/AAAI/2002/../../../Papers/AAAI/2002/AAAI02-013.pdf,,934
19,2002,Knowledge Representation,A Regression Based Adaptation Strategy for Case-Based Reasoning,"David Patterson, Niall Rooney, and Mykola Galushka, University of Ulster at Jordanstown","Adaptation is the least well studied process in case-based reasoning (CBR). The main reasons for this are the potentially complex nature of implementing adaptation knowledge and the difficulties associated with acquiring quality knowledge in the first place and competently maintaining it over time. For these reasons most CBR systems are designed to leave the adaptation component to the expert and therefore function simply as case retrieval systems as opposed to truly reasoning systems. Here we present a competent adaptation strategy, which uses a modified regression algorithm to automatically discover and implement locally specific adaptation knowledge in CBR. The advantages of this approach are that the adaptation knowledge acquisition process is automated, localised, guaranteed to be specific to the task at hand, and there is no adaptation knowledge maintenance burden on the system. The disadvantage is that the time taken to form solutions is increased but we also show how a novel indexing scheme based on k-means clustering can help reduce this overhead considerably.",https://aaai.org/Library/AAAI/2002/../../../Papers/AAAI/2002/AAAI02-014.pdf,,1085
20,2002,Knowledge Representation,Cluster Ensembles - A Knowledge Reuse Framework for Combining Partitionings,"Alexander Strehl and Joydeep Ghosh, The University of Texas at Austin Logic Programming","It is widely recognized that combining multiple classification or regression models typically provides superior results compared to using a single, well-tuned model. However, there are no well known approaches to combining multiple non-hierarchical clusterings. The idea of combining cluster labelings without accessing the original features leads us to a general knowledge reuse framework that we call cluster ensembles. Our contribution in this paper is to formally define the cluster ensemble problem as an optimization problem and to propose three effective and efficient combiners for solving it based on a hypergraph model. Results on synthetic as well as real data sets are given to show that cluster ensembles can (i) improve quality and robustness, and (ii) enable distributed clustering.",https://aaai.org/Library/AAAI/2002/../../../Papers/AAAI/2002/AAAI02-015.pdf,,797
21,2002,Knowledge Representation,Logic Programming with Ordered Disjunction,"Gerhard Brewka, Universität Leipzig","Logic programs with ordered disjunction (LPODs) combine ideas underlying Qualitative Choice Logic, a logic recently introduced by Brewka, Benferhat and Le Berre, and answer set programming. Logic programming under answer set semantics is extended with a new connective called ordered disjunction. The new connective allows us to represent alternative, ranked options for problem solutions in the heads of rules: A x B intuitively means: if possible A, but if A is not possible then at least B. The semantics of logic programs with ordered disjunction is based on a preference relation on answer sets. LPODs are useful for applications in design and configuration and can serve as a basis for qualitative decision making.",https://aaai.org/Library/AAAI/2002/../../../Papers/AAAI/2002/AAAI02-016.pdf,,720
22,2002,Knowledge Representation,A Three-Valued Characterization for Strong Equivalence of Logic Programs,"Pedro Cabalar, University of Corunna","In this work we present additional results related to the property of strong equivalence of logic programs. This property asserts that two programs share the same set of stable models, even under the addition of new rules. As shown in a recent work by Lifschitz, Pearce and Valverde, strong equivalence can be simply reduced to equivalence in the logic of Here-and-There (HT). In this paper we provide an alternative based on 3-valued logic, using also, as a first step, a classical logic charaterization. We show that the 3-valued encoding provides a direct interpretation for nested expressions but, when moving to an unrestricted syntax, it generally yields different results from HT.",https://aaai.org/Library/AAAI/2002/../../../Papers/AAAI/2002/AAAI02-017.pdf,,687
23,2002,Knowledge Representation,ASSAT: Computing Answer Sets of a Logic Program by SAT Solvers,"Fangzhen Lin and Yuting Zhao, Hong Kong University of Science and Technology","We propose a new translation from normal logic programs with constraints under the answer set semantics to propositional logic. Given a logic program, we show that by adding, for each loop in the program, a corresponding loop formula to the program’s completion, we obtain a one-to-one correspondence between the answer sets of the program and the models of the resulting propositional theory. Compared with the translation by Ben-Eliyahu and Dechter, ours has the advantage that it does not use any extra variables, and is considerably simpler, thus easier to understand. However, in the worst case, it requires computing exponential number of loop formulas. To address this problem, we propose an approach that adds loop formulas a few at a time, selectively. Based on these results, we implemented a system called ASSAT(X), depending on the SAT solver X used, and tested it on a variety of benchmarks including the graph coloring, the blocks world planning, and Hamiltonian Circuit domains. The results are compared with those by smodels and dlv, and it shows a clear edge of ASSAT(X) over them in these domains.",https://aaai.org/Library/AAAI/2002/../../../Papers/AAAI/2002/AAAI02-018.pdf,,1115
24,2002,Learning,"State Abstraction for Programmable Reinforcement Learning Agents / 119
","David Andre and Stuart J. Russell, University of California, Berkeley","Safe state abstraction in reinforcement learning allows an agent to ignore aspects of its current state that are irrelevant to its current decision, and therefore speeds up dynamic programming and learning. This paper explores safe state abstraction in hierarchical reinforcement learning, where learned behaviors must conform to a given partial, hierarchical program. Unlike previous approaches to this problem, our methods yield significant state abstraction while maintaining hierarchical optimality, i.e., optimality among all policies consistent with the partial program. We show how to achieve this for a partial programming language that is essentially Lisp augmented with nondeterministic constructs. We demonstrate our methods on two variants of Dietterich’s taxi domain, showing how state abstraction and hierarchical optimality result in faster learning of better policies and enable the transfer of learned skills from one problem to another.",https://aaai.org/Library/AAAI/2002/../../../Papers/AAAI/2002/AAAI02-019.pdf,,954
25,2002,Learning,Contentful Mental States for Robot Baby,"Paul R. Cohen, University of Massachusetts; Tim Oates, University of Maryland; Carole R. Beal, University of Massachusetts; Niall Adams, Imperial College, London","In this paper we claim that meaningful representations can be learned by programs, although today they are almost always designed by skilled engineers. We discuss several kinds of meaning that representations might have, and focus on a functional notion of meaning as appropriate for programs to learn. Specifically, a representation is meaningful if it incorporates an indicator of external conditions and if the indicator relation informs action. We survey methods for inducing kinds of representations we call structural abstractions. Prototypes of sensory time series are one kind of structural abstraction, and though they are not denoting or compositional, they do support planning. Deictic representations of objects and prototype representations of words enable a program to learn the denotational meanings of words. Finally, we discuss two algorithms designed to find the macroscopic structure of episodes in a domain-independent way.",https://aaai.org/Library/AAAI/2002/../../../Papers/AAAI/2002/AAAI02-020.pdf,,943
26,2002,Learning,Data Perturbation for Escaping Local Maxima in Learning,"Gal Elidan, Matan Ninio, and Nir Friedman, Hebrew University; Dale Shuurmans, University of Waterloo","Almost all machine learning algorithms -- be they for regression, classification or density estimation -- seek hypotheses that optimize a score on training data. In most interesting cases, however, full global optimization is not feasible and local search techniques are used to discover reasonable solutions. Unfortunately, the quality of the local maxima reached depends on initialization and is often weaker than the global maximum. In this paper, we present a simple approach for combining global search with local optimization to discover improved hypotheses in general machine learning problems. The main idea is to escape local maxima by perturbing the training data to create plausible new ascent directions, rather than perturbing hypotheses directly. Specifically, we consider example-reweighting strategies that are reminiscent of boosting and other ensemble learning methods, but applied in a different way with a different goal: to produce a single hypothesis that achieves a good score on training and test data. To evaluate the performance of our algorithms we consider a number of problems in learning Bayesian networks from data, including discrete training problems (structure search), continuous training problems (parametric EM, non-linear logistic regression), and mixed training problems (Structural EM) -- on both synthetic and real-world data. In each case, we obtain state of the art performance on both training and test data.",https://aaai.org/Library/AAAI/2002/../../../Papers/AAAI/2002/AAAI02-021.pdf,,1452
27,2002,Learning,Progressive Rademacher Sampling,"Tapio Elomaa and Matti Kääriäinen, University of Helsinki","Sampling can enhance processing of large training example databases, but without knowing all of the data, or the example producing process, it is impossible to know in advance what size of a sample to choose in order to guarantee good performance. Progressive sampling has been suggested to circumvent this problem. The idea in it is to increase the sample size according to some schedule until accuracy close to that which would be obtained using all of the data is reached. How to determine this stopping time efficiently and accurately is a central difficulty in progressive sampling. We study stopping time determination by approximating the generalization error of the hypothesis rather than by assuming the often observed shape for the learning curve and trying to detect whether the final plateau has been reached in the curve. We use data dependent generalization error bounds. Instead of using the common cross validation approach, we use the recently introduced Rademacher penalties, which have been observed to give good results on simple concept classes. We experiment with two-level decision trees built by the learning algorithm T2. It finds a hypothesis with the minimal error with respect to the sample. The theoretically well motivated stopping time determination based on Rademacher penalties gives results that are much closer to those attained using heuristics based on assumptions on learning curve shape than distribution independent estimates based on VC dimension do.",https://aaai.org/Library/AAAI/2002/../../../Papers/AAAI/2002/AAAI02-022.pdf,,1491
28,2002,Learning,Pruning and Dynamic Scheduling of Cost-Sensitive Ensembles,"Wei Fan, IBM T.J. Watson Research; Fang Chu, University of California, Los Angeles;
Haixun Wang and Philip S. Yu, IBM T.J. Watson Research","Previous research has shown that averaging ensemble can scale up learning over very large cost-sensitive datasets with linear speedup independent of the learning algorithms. At the same time, it achieves the same or even better accuracy than a single model computed from the entire dataset. However, one major drawback is its inefficiency in prediction since every base model in the ensemble has to be consulted in order to produce a final prediction. In this paper, we propose several approaches to reduce the number of base classifiers. Among various methods explored, our empirical studies have shown that the benefit-based greedy approach can safely remove more than 90\% of the base models while maintaining or even exceeding the prediction accuracy of the original ensemble. Assuming that each base classifier consumes one unit of prediction time, the removal of 90% of base classifiers translates to a prediction speedup of 10 times. On top of pruning, we propose a novel dynamic scheduling approach to further reduce the ""expected"" number of classifiers employed in prediction. It measures the confidence of a prediction by a subset of classifiers in the pruned ensemble. This confidence is used to decide if more classifiers are needed in order to produce a prediction that is the same as the original unpruned ensemble. This approach reduces the ""expected"" number of classifiers by another 25% to 75% without loss of accuracy.",https://aaai.org/Library/AAAI/2002/../../../Papers/AAAI/2002/AAAI02-023.pdf,,1436
29,2002,Learning,Specific-to-General Learning for Temporal Events,"Alan Fern, Robert Givan, and Jeffrey Mark Siskind, Purdue University","We study the problem of supervised learning of event classes in a simple temporal event-description language. We give lower and upper bounds and algorithms for the subsumption and generalization problems for two expressively powerful subsets of this logic, and present a positive-examples-only specific-to-general learning method based onthe resulting algorithms. We also present a polynomial-time computable ""syntactic"" subsumption test that implies semantic subsumption without being equivalent to it. A generalization algorithm based on syntactic subsumption can be used in place of semantic generalization to improve the asymptotic complexity of the resulting learning algorithm. A companion paper shows that our methods can be applied to duplicate the performance of human-coded concepts in the substantial application domain of video event recognition.",https://aaai.org/Library/AAAI/2002/../../../Papers/AAAI/2002/AAAI02-024.pdf,,858
30,2002,Learning,"Learning Temporal, Relational, Force-Dynamic Event Definitions from Video","Alan Fern, Jeffrey Mark Siskind, and Robert Givan, Purdue University","We present and evaluate a novel implemented approach for learning to recognize events in video. First, we introduce a sublanguage of event logic, called k-AMA, that is sufficiently expressive to represent visual events yet sufficiently restrictive to support learning. Second, we develop a specific-to-general learning algorithm for learning event definitions in k-AMA. Finally, we apply this algorithm to the task of learning event definitions from video and show that it yields definitions that are competitive with hand-coded ones.",https://aaai.org/Library/AAAI/2002/../../../Papers/AAAI/2002/AAAI02-025.pdf,,534
31,2002,Learning,Structural Extension to Logistic Regression: Discriminative Parameter Learning of Belief Net Classifiers,"Russell Greiner, University of Alberta; Wei Zhou, University of Waterloo","Bayesian belief nets (BNs) are often used for classification tasks --- typically to return the most likely ""class label"" for each specified instance. Many BN-learners, however, attempt to find the BN that maximizes a different objective function (viz., likelihood, rather than classification accuracy), typically by first learning an appropriate graphical structure, then finding the maximal likelihood parameters for that structure. As these parameters may not maximize the classification accuracy, ""discriminative learners"" follow the alternative approach of seeking the parameters that maximize conditionallikelihood (CL), over the distribution of instances the BN will have to classify. This paper first formally specifies this task, and shows how it relates to logistic regression, which corresponds to finding the optimal CL parameters for a naive-bayes structure. After analyzing its inherent (sample and computational) complexity, we then present a general algorithm for this task, ELR, which applies to arbitrary BN structures and which works effectively even when given the incomplete training data. This paper presents empirical evidence that ELR works better than the standard ""generative"" approach in a variety of situations, especially in common situation where the BN-structure is incorrect.",https://aaai.org/Library/AAAI/2002/../../../Papers/AAAI/2002/AAAI02-026.pdf,,1306
32,2002,Learning,Bootstrap Learning for Place Recognition,"Benjamin Kuipers and Patrick Beeson, The University of Texas at Austin","We present a method whereby a robot can learn to recognize places with high accuracy, in spite of perceptual aliasing (different places appear the same) and image variability (the same place appears differently). The first step in learning place recognition restricts attention to distinctive states identified by the map-learning algorithm, and eliminates image variability by unsupervised learning of clusters of similar sensory images. The clusters define views associated with distinctive states, often increasing perceptual aliasing. The second step eliminates perceptual aliasing by building a causal/topological map and using history information gathered during exploration to disambiguate distinctive states. The third step uses the labeled images for supervised learning of direct associations from sensory images to distinctive states. We evaluate the method using a physical mobile robot in two environments, showing high recognition rates in spite of large amounts of perceptual aliasing.",https://aaai.org/Library/AAAI/2002/../../../Papers/AAAI/2002/AAAI02-027.pdf,,1000
33,2002,Learning,Minimum Majority Classification and Boosting,"Philip M. Long, Genome Institute of Singapore","Motivated by a theoretical analysis of the generalization of boosting, we examine learning algorithms that work by trying to fit data using a simple majority vote over a small number of a collection of hypotheses. We provide experimental evidence that an algorithm based on this principle outputs hypotheses that often generalize nearly as well as those output by boosting, and sometimes better. We also provide experimental evidence for an additional reason that boosting algorithms generalize well, that they take advantage of cases in which there are many simple hypotheses with independent errors.",https://aaai.org/Library/AAAI/2002/../../../Papers/AAAI/2002/AAAI02-028.pdf,,601
34,2002,Learning,Content-Boosted Collaborative Filtering for Improved Recommendations,"Prem Melville, Raymond J. Mooney, and Ramadass Nagarajan, University of Texas at Austin","Most recommender systems use Collaborative Filtering or Content-based methods to predict new items of interest for a user. While both methods have their own advantages, individually they fail to provide good recommendations in many situations. Incorporating components from both methods, a hybrid recommender system can overcome these shortcomings. In this paper, we present an elegant and effective framework for combining content and collaboration. Our approach uses a content-based predictor to enhance existing user data, and then provides personalized suggestions through collaborative filtering. We present experimental results that show how this approach, Content-Boosted Collaborative Filtering, performs better than a pure content-based predictor, pure collaborative filter, and a naive hybrid approach.",https://aaai.org/Library/AAAI/2002/../../../Papers/AAAI/2002/AAAI02-029.pdf,,812
35,2002,Learning,Constructive Adaptive User Interfaces - Composing Music Based on Human Feelings,"Masayuki Numao, Shoichi Takagi, and Keisuke Nakamura, Tokyo Institute of Technology","We propose a method to locate relations and constraints between a music score and its impressions, by which we show that machine learning techniques may provide a powerful tool for composing music and analyzing human feelings. We examine its generality by modifying some arrangements to provide the subjects with a specified impression. This paper introduces some user interfaces, which are capable of predicting feelings and creating new objects based on seed structures, such as spectra and their transition for sounds that have been extracted and are perceived as favorable by the test subject.",https://aaai.org/Library/AAAI/2002/../../../Papers/AAAI/2002/AAAI02-030.pdf,,597
36,2002,Learning,Reinforcement Learning for POMDPs Based on Action Values and Stochastic Optimization,"Theodore J. Perkins, University of Massachusetts Amherst","We present a new, model-free reinforcement learning algorithm for learning to control partially-observable Markov decision processes. The algorithm incorporates ideas from action-value based reinforcement learning approaches, such as Q-Learning, as well as ideas from the stochastic optimization literature. Key to our approach is a new definition of action value, which makes the algorithm theoretically sound for partially-observable settings. We show that special cases of our algorithm can achieve probability one convergence to locally optimal policies in the limit, or probably approximately correct hill-climbing to a locally optimal policy in a finite number of samples.",https://aaai.org/Library/AAAI/2002/../../../Papers/AAAI/2002/AAAI02-031.pdf,,678
37,2002,Learning,Polynomial-Time Reinforcement Learning of Near-Optimal Policies,"Karèn Pivazyan and Yoav Shoham, Stanford University","Inspired by recent results on polynomial time reinforcement algorithms that accumulate near-optimal rewards, we look at the related problem of quickly learning near-optimal policies. The new problem is obviously related to the previous one, but different in important ways. We provide simple algorithms for MDPs, zero-sum and common-payoff Stochastic Games, and a uniform framework for proving their polynomial complexity. Unlike the previously studied problem, these bounds use the minimum between the mixing time and a new quantity - the spectral radius. Unlike the previous results, our results apply uniformly to the average and discounted cases.",https://aaai.org/Library/AAAI/2002/../../../Papers/AAAI/2002/AAAI02-032.pdf,,650
38,2002,Learning,Constrained Formulations and Algorithms for Stock-Price Predictions Using Recurrent FIR Neural Networks,"Benjamin W. Wah and Minglun Qian, University of Illinois, Urbana-Champaign","In this paper, we develop new constrained artificial-neural-network (ANN) formulations and learning algorithms to predict future stock prices, a difficult time-series prediction problem. Specifically, we characterize stock prices as a non-stationary noisy time series, identify its predictable low-frequency components, develop strategies to predict missing low-frequency information in the lag period of a filtered time series, model the prediction problem by a recurrent FIR ANN, formulate the training problem of the ANN as a constrained optimization problem, develop new constraints to incorporate the objectives in cross validation, solve the learning problem using algorithms based on the theory of Lagrange multipliers for nonlinear discrete constrained optimization, and illustrate our prediction results on three stock time series.There are two main contributions of this paper. First, we present a new approach to predict missing low-pass data in the lag period when low-pass filtering is applied on a time series. Such predictions allow learning to be carried out more accurately. Second, we propose new constraints on cross validation that can improve significantly the accuracy of learning in a constrained formulation. Our experimental results demonstrate good prediction accuracy in a 10-day horizon.",https://aaai.org/Library/AAAI/2002/../../../Papers/AAAI/2002/AAAI02-033.pdf,,1315
39,2002,Learning,Rule-Based Anomaly Pattern Detection for Detecting Disease Outbreaks,"Weng-Keen Wong and Andrew Moore, Carnegie Mellon University; Gregory Cooper and Michael Wagner, University of Pittsburgh","This paper presents an algorithm for performing early detection of disease outbreaks by searching a database of emergency department cases for anomalous patterns. Traditional techniques for anomaly detection are unsatisfactory for this problem because they identify individual data points that are rare due to particular combinations of features. When applied to our scenario, these traditional algorithms discover isolated outliers of particularly strange events, such as someone accidentally shooting their ear, that are not indicative of a new outbreak. Instead, we would like to detect anomalous patterns. These patterns are groups with specific characteristics whose recent pattern of illness is anomalous relative to historical patterns. We propose using a rule-based anomaly detection algorithm that characterizes each anomalous pattern with a rule. The significance of each rule is carefully evaluated using Fisher’s Exact Test and a randomization test. Our algorithm is compared against a standard detection algorithm by measuring the number of false positives and the timeliness of detection. Simulated data, produced by a simulator that creates the effects of an epidemic on a city, is used for evaluation. The results indicate that our algorithm has significantly better detection times for common significance thresholds while having a slightly higher false positive rate.",https://aaai.org/Library/AAAI/2002/../../../Papers/AAAI/2002/AAAI02-034.pdf,,1385
40,2002,Learning,Extended Isomap for Pattern Classification,"Ming-Hsuan Yang, Honda Fundamental Research Labs","The Isomap method has demonstrated promising results in finding low dimensional manifolds from data points in the high dimensional input space. While classical subspace methods use Euclidean or Manhattan metrics to represent distances between data points and apply Principal Component Analysis to induce linear manifolds, the Isomap method estimates geodesic distances between data points and then uses Multi-Dimensional Scaling to induce low dimensional manifolds. Since the Isomap method is developed based on reconstruction principle, it may not be optimal from the classification viewpoint. In this paper, we present an extended Isomap method that utilizes Fisher Linear Discriminant for pattern classification. Numerous experiments on image data sets show that our extension is more effective than the original Isomap method for pattern classification. Furthermore, the extended Isomap method shows promising results compared with best methods in the face recognition literature.",https://aaai.org/Library/AAAI/2002/../../../Papers/AAAI/2002/AAAI02-035.pdf,,984
